CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,ARCHIVO_ORIGEN,ESTABLECIMIENTO_LIMPIO,DIRECCION_LIMPIA,TELEFONO_LIMPIO,DIRECTOR_LIMPIO,SUPERVISOR_LIMPIO,MUNICIPIO_LIMPIO,AREA_LIMPIO,SECTOR_LIMPIO,MODALIDAD_LIMPIO,JORNADA_LIMPIO,PLAN_LIMPIO
05-02-0126-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,INSTITUTO DE FORMACIӎ CUALIFICADA,5A. AVENIDA 4-65 ZONA 1,57082235,JUAN FRANCISCO GODOY DAVILA,MILVIA JOHANA GARĆ ARDӎ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA,escuintla,INSTITUTO DE FORMACIӍ CUALIFICADA,5A. AVENIDA 4-65 ZONA 1,57082235,MILVIA JOHANA GARC ARDӍ,JUAN FRANCISCO GODOY DAVILA,SANTA LUCIA COTZUMALGUAPA,URBANA,PRIVADO,MONOLINGUE,DOBLE,FIN DE SEMANA
05-02-0129-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,"COLEGIO PARTICULAR MIXTO ""LA ENSEсNZA""",1A. CALLE 3-67 ZONA 1,78822044,JUAN FRANCISCO GODOY DAVILA,PABLO BENJAMIN MATEO MOREIRA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ESCUINTLA,escuintla,COLEGIO PRIVADO MIXTO LA ENSEСNZA,1A. CALLE 3-67 ZONA 1,78822044,PABLO BENJAMIN MATEO MOREIRA,JUAN FRANCISCO GODOY DAVILA,SANTA LUCIA COTZUMALGUAPA,URBANA,PRIVADO,MONOLINGUE,DOBLE,DIARIO(REGULAR)
05-02-0133-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,INSTITUTO PARTICULAR MIXTO SAN ANTONIO,5TA. AVENIDA 4-65 ZONA 1,48000554,JUAN FRANCISCO GODOY DAVILA,CLAUDIA MARITZA MENDOZA ROMPICH,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA,escuintla,INSTITUTO PARTICULAR MIXTO SAN ANTONIO,5TA. AVENIDA 4-65 ZONA 1,48000554,CLAUDIA MARITZA MENDOZA ROMPICH,JUAN FRANCISCO GODOY DAVILA,SANTA LUCIA COTZUMALGUAPA,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
05-02-0134-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,INSTITUTO PARTICULAR MIXTO SAN ANTONIO,5TA. AVENIDA 4-65 ZONA 1,48000554,JUAN FRANCISCO GODOY DAVILA,CLAUDIA MARITZA MENDOZA ROMPICH,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA,escuintla,INSTITUTO PARTICULAR MIXTO SAN ANTONIO,5TA. AVENIDA 4-65 ZONA 1,48000554,CLAUDIA MARITZA MENDOZA ROMPICH,JUAN FRANCISCO GODOY DAVILA,SANTA LUCIA COTZUMALGUAPA,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
05-02-0135-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,INSTITUTO PARTICULAR MIXTO SAN ANTONIO,5TA. AVENIDA 4-65 ZONA 1,48000554,JUAN FRANCISCO GODOY DAVILA,CLAUDIA MARITZA MENDOZA ROMPICH,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ESCUINTLA,escuintla,INSTITUTO PARTICULAR MIXTO SAN ANTONIO,5TA. AVENIDA 4-65 ZONA 1,48000554,CLAUDIA MARITZA MENDOZA ROMPICH,JUAN FRANCISCO GODOY DAVILA,SANTA LUCIA COTZUMALGUAPA,URBANA,PRIVADO,MONOLINGUE,DOBLE,DIARIO(REGULAR)
05-02-0137-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,INSTITUTO MUNICIPAL DE EDUCACIӎ MEDIA,CAMINO A SAN FELIPE ALDEA MIRIAM II,59172538,JUAN FRANCISCO GODOY DAVILA,ELSA YANET ROLDN CALN,DIVERSIFICADO,MUNICIPAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA,escuintla,INSTITUTO MUNICIPAL DE EDUCACION MEDIA,CAMINO A SAN FELIPE ALDEA MIRIAM II,59172538,ELSA YANET ROLDN CALN,JUAN FRANCISCO GODOY DAVILA,SANTA LUCIA COTZUMALGUAPA,RURAL,MUNICIPAL,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
05-02-0141-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,CENTRO EDUCATIVO LUCIANO CAMPO REAL,5A AVENIDA 4-65 ZONA 1,55025058,JUAN FRANCISCO GODOY DAVILA,WENDI AZUCENA ABAC BETHANCOURT,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA,escuintla,CENTRO EDUCATIVO LUCIANO CAMPO REAL,5A AVENIDA 4-65 ZONA 1,55025058,WENDI AZUCENA ABAC BETHANCOURT,JUAN FRANCISCO GODOY DAVILA,SANTA LUCIA COTZUMALGUAPA,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
05-02-0142-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,CENTRO EDUCATIVO LUCIANO CAMPO REAL,5A AVENIDA 4-65 ZONA 1,55025058,JUAN FRANCISCO GODOY DAVILA,WENDI AZUCENA ABAC BETHANCOURT,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA,escuintla,CENTRO EDUCATIVO LUCIANO CAMPO REAL,5A AVENIDA 4-65 ZONA 1,55025058,WENDI AZUCENA ABAC BETHANCOURT,JUAN FRANCISCO GODOY DAVILA,SANTA LUCIA COTZUMALGUAPA,URBANA,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
05-02-0143-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,CENTRO EDUCATIVO LUCIANO CAMPO REAL,5A AVENIDA 4-65 ZONA 1,55025058,JUAN FRANCISCO GODOY DAVILA,WENDI AZUCENA ABAC BETHANCOURT,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ESCUINTLA,escuintla,CENTRO EDUCATIVO LUCIANO CAMPO REAL,5A AVENIDA 4-65 ZONA 1,55025058,WENDI AZUCENA ABAC BETHANCOURT,JUAN FRANCISCO GODOY DAVILA,SANTA LUCIA COTZUMALGUAPA,URBANA,PRIVADO,MONOLINGUE,DOBLE,DIARIO(REGULAR)
05-02-0145-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,COLEGIO MIXTO BELɎ.,5A AVENIDA 4-65 ZONA 1,53601095,JUAN FRANCISCO GODOY DAVILA,KEILA JUDITH PAIZ HERNANDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA,escuintla,COLEGIO MIXTO BELɎ.,5A AVENIDA 4-65 ZONA 1,53601095,KEILA JUDITH PAIZ HERNANDEZ,JUAN FRANCISCO GODOY DAVILA,SANTA LUCIA COTZUMALGUAPA,URBANA,PRIVADO,MONOLINGUE,DOBLE,FIN DE SEMANA
05-02-0217-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,"INSTITUTO PARTICULAR MIXTO ""ISTMANIA""",4TA. AV. 5-55 ZONA 1,78825876,JUAN FRANCISCO GODOY DAVILA,ANA GISELA MAYORGA DE LEӎ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA,escuintla,INSTITUTO PARTICULAR MIXTO SAN ANTONIO,4TA. AVENIDA. 5-55 ZONA 1,78825876,ANA GISELA MAYORGA DE LEӍ,JUAN FRANCISCO GODOY DAVILA,SANTA LUCIA COTZUMALGUAPA,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
05-02-0220-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,"""COLEGIO MIXTO COTZUMALGUAPA""",CALZADA 15 DE SEPTIEMBRE 5-250 SANTA LUCIA COTZUMALGUAPA,78826459,JUAN FRANCISCO GODOY DAVILA,MIRNA RUTILIA ALVAREZ BOJORQUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA,escuintla,COLEGIO MIXTO COTZUMALGUAPA,CALZADA 15 DE SEPTIEMBRE 5-250 SANTA LUCIA COTZUMALGUAPA,78826459,MIRNA RUTILIA ALVAREZ BOJORQUEZ,JUAN FRANCISCO GODOY DAVILA,SANTA LUCIA COTZUMALGUAPA,URBANA,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
05-02-0228-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,"ESCUELA NACIONAL DE CIENCIAS COMERCIALES ADSCRITA AL INEB ""MARIA JOSEFA ROSADO LARA""",5A. CALLE 5-251 ZONA 1 CALZADA 15 DE SEPTIEMBRE,78822757,JUAN FRANCISCO GODOY DAVILA,JOSɠDAVID RIVERA FRANCISCO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA,escuintla,ESCUELA NACIONAL DE CIENCIAS COMERCIALES ADSCRITA AL INEB MARIA JOSEFA ROSADO LARA,5A. CALLE 5-251 ZONA 1 CALZADA 15 DE SEPTIEMBRE,78822757,JOSƓDAVID RIVERA FRANCISCO,JUAN FRANCISCO GODOY DAVILA,SANTA LUCIA COTZUMALGUAPA,URBANA,OFICIAL,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
