CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,ARCHIVO_ORIGEN,ESTABLECIMIENTO_LIMPIO,DIRECCION_LIMPIA,TELEFONO_LIMPIO,DIRECTOR_LIMPIO,SUPERVISOR_LIMPIO,MUNICIPIO_LIMPIO,AREA_LIMPIO,SECTOR_LIMPIO,MODALIDAD_LIMPIO,JORNADA_LIMPIO,PLAN_LIMPIO
02-02-0014-46,02-002,EL PROGRESO,MORAZAN,INSTITUTO DIVERSIFICADO POR COOPERATIVA,BARRIO LAS DELICIAS,79247700.0,SILVIA CONSUELO GAMARRO HERRERA DE JUAREZ,ISRAEL ROJAS ORDOхZ,DIVERSIFICADO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO,el_progreso,INSTITUTO DIVERSIFICADO POR COOPERATIVA,BARRIO LAS DELICIAS,79247700,ISRAEL ROJAS ORDOХZ,SILVIA CONSUELO GAMARRO HERRERA DE JUAREZ,MORAZAN,URBANA,COOPERATIVA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
02-02-0613-46,02-002,EL PROGRESO,MORAZAN,INSTITUTO DIVERSIFICADO POR COOPERATIVA,BARRIO LAS DELICIAS,79247700.0,SILVIA CONSUELO GAMARRO HERRERA DE JUAREZ,ISRAEL ROJAS ORDOхZ,DIVERSIFICADO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO,el_progreso,INSTITUTO DIVERSIFICADO POR COOPERATIVA,BARRIO LAS DELICIAS,79247700,ISRAEL ROJAS ORDOХZ,SILVIA CONSUELO GAMARRO HERRERA DE JUAREZ,MORAZAN,URBANA,COOPERATIVA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
02-03-0002-46,02-015,EL PROGRESO,SAN AGUSTIN ACASAGUASTLAN,"COLEGIO ""CENTRO DE FORMACION PROFESIONAL PRE-UNIVERSITARIA DEL CICLO DIVERSIFICADO""",BARRIO EL CENTRO,55866613.0,EDNA LILY ALDANA GODOY,HɃTOR FRANCISCO DE LEӎ MURALLES,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO,el_progreso,COLEGIO CENTRO DE FORMACION PROFESIONAL PRE-UNIVERSITARIA DEL CICLO DIVERSIFICADO,BARRIO EL CENTRO,55866613,HɃTOR FRANCISCO DE LEӍ MURALLES,EDNA LILY ALDANA GODOY,SAN AGUSTIN ACASAGUASTLAN,RURAL,PRIVADO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
02-03-0003-46,02-015,EL PROGRESO,SAN AGUSTIN ACASAGUASTLAN,"COLEGIO ""CENTRO DE FORMACION PROFESIONAL PREUNIVERSITARIA DEL CICLO DIVERSIFICADO""",BARRIO EL CENTRO,59787086.0,EDNA LILY ALDANA GODOY,HɃTOR FRANCISCO DE LEӎ MURALLES,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO,el_progreso,COLEGIO CENTRO DE FORMACION PROFESIONAL PRE-UNIVERSITARIA DEL CICLO DIVERSIFICADO,BARRIO EL CENTRO,59787086,HɃTOR FRANCISCO DE LEӍ MURALLES,EDNA LILY ALDANA GODOY,SAN AGUSTIN ACASAGUASTLAN,RURAL,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
02-03-0004-46,02-015,EL PROGRESO,SAN AGUSTIN ACASAGUASTLAN,"COLEGIO ""CENTRO DE FORMACION PROFESIONAL PRE-UNIVERSITARIA DEL CICLO DIVERSIFICADO""",BARRIO EL CENTRO,56389671.0,EDNA LILY ALDANA GODOY,HɃTOR FRANCISCO DE LEӎ MURALLES,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,EL PROGRESO,el_progreso,COLEGIO CENTRO DE FORMACION PROFESIONAL PRE-UNIVERSITARIA DEL CICLO DIVERSIFICADO,BARRIO EL CENTRO,56389671,HɃTOR FRANCISCO DE LEӍ MURALLES,EDNA LILY ALDANA GODOY,SAN AGUSTIN ACASAGUASTLAN,RURAL,PRIVADO,MONOLINGUE,DOBLE,FIN DE SEMANA
02-03-0021-46,02-013,EL PROGRESO,SAN AGUSTIN ACASAGUASTLAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,BARRIO AGUA HIEL,31790028.0,JOHANA MAYBELL͠D́Z MARTT͎EZ,ANA LUCRECIA LӐEZ MARROQU͎,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO,el_progreso,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,BARRIO AGUA HIEL,31790028,ANA LUCRECIA LӐEZ MARROQU,JOHANA MAYBELLDZ MARTTEZ,SAN AGUSTIN ACASAGUASTLAN,URBANA,OFICIAL,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
02-03-0022-46,02-013,EL PROGRESO,SAN AGUSTIN ACASAGUASTLAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA EL RANCHO,48039407.0,JOHANA MAYBELL͠D́Z MARTT͎EZ,NERY RENɠORTEGA VALIENTE,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO,el_progreso,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA EL RANCHO,48039407,NERY RENƓORTEGA VALIENTE,JOHANA MAYBELLDZ MARTTEZ,SAN AGUSTIN ACASAGUASTLAN,RURAL,OFICIAL,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
02-03-0050-46,02-015,EL PROGRESO,SAN AGUSTIN ACASAGUASTLAN,CENTRO EDUCATIVO PRIVADO MIXTO ACAZAU-AZTLAN,BARRIO GUAYTAN,44807367.0,EDNA LILY ALDANA GODOY,ROSA DELIA MORALES BALCRCEL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,EL PROGRESO,el_progreso,CENTRO EDUCATIVO PRIVADO MIXTO ACAZAU-AZTLAN,BARRIO GUAYTAN,44807367,ROSA DELIA MORALES BALCRCEL,EDNA LILY ALDANA GODOY,SAN AGUSTIN ACASAGUASTLAN,URBANA,PRIVADO,MONOLINGUE,DOBLE,FIN DE SEMANA
02-03-0054-46,02-015,EL PROGRESO,SAN AGUSTIN ACASAGUASTLAN,COLEGIO PRIVADO MIXTO DE EDUCACION BASICA SAN AGUSTIN ACASAGUASTLAN -COMEBSA-,BARRIO GUAYTAN,31511521.0,EDNA LILY ALDANA GODOY,AURA MARINA AGUILAR RAMIREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,EL PROGRESO,el_progreso,COLEGIO PRIVADO MIXTO DE EDUCACION BASICA SAN AGUSTIN ACASAGUASTLAN -COMEBSA-,BARRIO GUAYTAN,31511521,AURA MARINA AGUILAR RAMIREZ,EDNA LILY ALDANA GODOY,SAN AGUSTIN ACASAGUASTLAN,URBANA,PRIVADO,MONOLINGUE,DOBLE,FIN DE SEMANA
02-03-0107-46,02-003,EL PROGRESO,SAN AGUSTIN ACASAGUASTLAN,"ESCUELA TɃNICA PROFESIONAL ""MOISɓ LIRA SERAFIN""","CASERIO LAS CHAMPAS, ALDEA SANTA GERTRUDIS",47700271.0,EUNICE GUADALUPE NAJARRO JUAREZ,MARLEN KARINA ARANA GRIJALVA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO,el_progreso,ESCUELA TɃNICA PROFESIONAL MOISƁ LIRA SERAFIN,"CASERIO LAS CHAMPAS, ALDEA SANTA GERTRUDIS",47700271,MARLEN KARINA ARANA GRIJALVA,EUNICE GUADALUPE NAJARRO JUAREZ,SAN AGUSTIN ACASAGUASTLAN,RURAL,PRIVADO,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
