CODIGO,Unnamed: 1,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
10-01-0070-45,,10-019,SUCHITEPEQUEZ,MAZATENANGO,INEB CON ORIENTACION OCUPACIONAL 'LIC. JULIO CESAR MENDEZ MONTENEGRO',CANTON SANTA CRISTINA ZONA 2,56335202,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,CARMEN FERNANDA TOJ͎ GARĆ,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0071-45,,10-019,SUCHITEPEQUEZ,MAZATENANGO,INEB ADSCRITO A ESCUELA NACIONAL DE CIENCIAS COMERCIALES,CANTON SANTA CRISTINA,47022234,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,CARLOS GUSTAVO FLORES CALDERӎ,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0072-42,,10-018,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO LATINOAMERICANO GOSPEL,"12 CALLE 4-45, ZONA 1",77911907,NATALI XIOMARA DIAZ BARRIOS DE FIGUEROA,CLAUDIA ROSEMARY FIGUEROA XICAY,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0074-45,,10-019,SUCHITEPEQUEZ,MAZATENANGO,INSTITUTO DE COMPUTACION INFORMATICA,"COLONIA SAN BARTOLOME, 4A. CALLE FINAL",78679005,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,JOSɠMAŔ RODR͇UEZ TOMS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0075-45,,10-018,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO LATINOAMERICANO GOSPEL,"12 CALLE 4-45, ZONA 1",77911907,NATALI XIOMARA DIAZ BARRIOS DE FIGUEROA,CLAUDIA ROSEMARY FIGUEROA XICAY,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0076-45,,10-019,SUCHITEPEQUEZ,MAZATENANGO,"COLEGIO CIENTIFICO Y TECNOLOGICO ""BLAISE PASCAL""",1RA. AV. SUR FINAL 12-70 ZONA 2,59465095,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,JAQUELINE ESPERANZA LIMA LINARES,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0078-45,,10-019,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO PRIVADO MIXTO LICEO MAZATECO,6A. AVENIDA 2-21 ZONA 1,78720482,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,SINDY CARLOTA MANCIO MɎDEZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0078-46,,10-019,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO PRIVADO MIXTO LICEO MAZATECO,6A. AVENIDA 2-21 ZONA 1,57154933,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,ALBA PATRICIA CIFUENTES DIAZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0079-45,,10-019,SUCHITEPEQUEZ,MAZATENANGO,"COLEGIO PRIVADO MIXTO ""PERPETUO SOCORRO""",1A CALLE 3-39 ZONA 1,41614325,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,SENAIDA ANAVELA BARRIENTOS CASEROS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0083-45,,10-019,SUCHITEPEQUEZ,MAZATENANGO,INSTITUTO PRIVADO MIXTO TECNOLOGICO DEL SUROCCIDENTE,FINCA CHOJOJA,78718369,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,LIDIA ELIZABETH JEREZ DE LEӎ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0083-46,,10-019,SUCHITEPEQUEZ,MAZATENANGO,INSTITUTO PRIVADO MIXTO TECNOLOGICO DEL SUROCCIDENTE,FINCA CHOJOJA,78718369,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,LIDIA ELIZABETH JEREZ DE LEӎ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0084-45,,10-018,SUCHITEPEQUEZ,MAZATENANGO,"COLEGIO PARTICULAR MIXTO ""LA ILUSTRACION""",3A AVE. 4-92 ZONA 1,41639696,NATALI XIOMARA DIAZ BARRIOS DE FIGUEROA,MAŔ ELENA ROCHA NAVARRO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0088-46,,10-019,SUCHITEPEQUEZ,MAZATENANGO,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,CANTON SANTA CRISTINA ZONA 2,55023086,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,CARLOS GUSTAVO FLORES CALDERӎ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0093-45,,10-019,SUCHITEPEQUEZ,MAZATENANGO,INEB 'RAFAEL LANDIVAR',CANTON SANTA CRISTINA,78725695,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,NANCY ELIZABETH BARRERA CASTAхDA,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0095-46,,10-018,SUCHITEPEQUEZ,MAZATENANGO,"COLEGIO PARTICULAR MIXTO ""LA ILUSTRACION""",3A AVE. 4-92 ZONA 1,41639696,NATALI XIOMARA DIAZ BARRIOS DE FIGUEROA,MAŔ ELENA ROCHA NAVARRO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0097-46,,10-019,SUCHITEPEQUEZ,MAZATENANGO,"COLEGIO PRIVADO MIXTO ""PERPETUO SOCORRO""",1A CALLE 3-39 ZONA 1,41614325,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,SENAIDA ANAVELA BARRIENTOS CASEROS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0098-46,,10-019,SUCHITEPEQUEZ,MAZATENANGO,INSTITUTO DE COMPUTACION INFORMATICA,"COLONIA SAN BARTOLOME, 4A. CALLE FINAL",78679993,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,JOSɠMAŔ RODR͇UEZ TOMS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
