CODIGO,Unnamed: 1,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
04-01-0331-46,,04-001,CHIMALTENANGO,CHIMALTENANGO,LICEO CRISTIANO HISPANOAMERICANO,3A. AVENIDA 1-64 ZONA 2,78395647,ABIMAEL ACUTA ABAJ,VIVIAN PAOLA XICAY SUY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (DOS D́S A LA SEMANA),CHIMALTENANGO
04-01-0333-46,,04-020,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO EVANGɌICO AMɒICA LATINA,"6A. AVENIDA 3-48, ZONA 5",77282600,MARILENA HERNNDEZ CABRERA,AXEL EDUARDO ESTRADA CHVEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,A DISTANCIA,CHIMALTENANGO
04-01-0335-46,,04-028,CHIMALTENANGO,CHIMALTENANGO,LICEO NUEVA GENERACIӎ,1A. AVENIDA 4-52 ZONA 4,78392827,ISMAEL CRISTAL AJCET,LESLIE IVETTE SNCHEZ VSQUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (DOS D́S A LA SEMANA),CHIMALTENANGO
04-01-0337-46,,04-002,CHIMALTENANGO,CHIMALTENANGO,CENTRO DE ESTUDIOS TɃNICOS Y AVANZADOS DE CHIMALTENANGO NO. 2 (C.E.T.A.CH. NO. 2),3A. CALLE 6-125 ZONA 4,78739582,EDNA NOHELIA PɒEZ TOJ DE LӐEZ,BERTHA MARIA QUIROA GARNICA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (DOS D́S A LA SEMANA),CHIMALTENANGO
04-01-0339-46,,04-028,CHIMALTENANGO,CHIMALTENANGO,LICEO EN CIENCIA Y TECNOLOǴ DE OCCIDENTE,"6A. AVENIDA 8-94, ZONA 1",45097231,ISMAEL CRISTAL AJCET,SANDRA NOEMI ORTIZ ESTRADA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (DOS D́S A LA SEMANA),CHIMALTENANGO
04-01-0341-46,,04-027,CHIMALTENANGO,CHIMALTENANGO,COLEGIO CATӌICO EL SAGRADO CORAZӎ DE JESړ,"2A. CALLE 3-68, ZONA 1",55823410,ISMAEL CRISTAL AJCET,FLOR DE MAŔ RUMPICH NOJ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (DOS D́S A LA SEMANA),CHIMALTENANGO
04-01-0343-46,,04-020,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO PRIVADO DE COMPUTACIӎ INFORMTICA,6A. AVENIDA Y 1A. CALLE NO. 126 ZONA 5,41374514,MARILENA HERNNDEZ CABRERA,VERӎICA ESMERALDA MUTZUTZ ELEL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (DOS D́S A LA SEMANA),CHIMALTENANGO
04-01-0345-46,,04-027,CHIMALTENANGO,CHIMALTENANGO,COLEGIO CIENT͆ICO INTEGRAL RENACIMIENTO,2A. CALLE 2-75 ZONA 1,78399859,ISMAEL CRISTAL AJCET,JAVIER SANCHEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (DOS D́S A LA SEMANA),CHIMALTENANGO
04-01-0347-46,,04-001,CHIMALTENANGO,CHIMALTENANGO,COLEGIO BLESS,1A. CALLE 9-307 ZONA 4,78739432-79649696,ABIMAEL ACUTA ABAJ,MARIO RAUL DE LA CRUZ EĹS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (DOS D́S A LA SEMANA),CHIMALTENANGO
04-01-0349-46,,04-002,CHIMALTENANGO,CHIMALTENANGO,COLEGIO GABRIEL G&R,3A. AVENIDA 2-143 ZONA 7 BUENA VISTA NORTE,41409698,EDNA NOHELIA PɒEZ TOJ DE LӐEZ,RUBɎ ANTONIO GӍEZ PATZAN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,A DISTANCIA,CHIMALTENANGO
04-01-0351-46,,04-003,CHIMALTENANGO,CHIMALTENANGO,CENTRO DE ESTUDIOS TɃNICOS Y AVANZADOS DE CHIMALTENANGO C.E.T.A.CH.,8A. AVENIDA 3-59 ZONA 2,77741100,EDNA NOHELIA PɒEZ TOJ DE LӐEZ,JOSɠEDWIN VILLARREAL AGUILAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (DOS D́S A LA SEMANA),CHIMALTENANGO
04-01-0354-46,,04-003,CHIMALTENANGO,CHIMALTENANGO,COLEGIO DEL FUTURO,KM. 2.5 CARRETERA A SAN MART͎ JILOTEPEQUE,41386224,EDNA NOHELIA PɒEZ TOJ DE LӐEZ,ANA LIDIA BATZ XICAY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN D́ A LA SEMANA),CHIMALTENANGO
04-01-0355-46,,04-003,CHIMALTENANGO,CHIMALTENANGO,COLEGIO DEL FUTURO,KM. 2.5 CARRETERA A SAN MART͎ JILOTEPEQUE,41386224,EDNA NOHELIA PɒEZ TOJ DE LӐEZ,ANA LIDIA BATZ XICAY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,A DISTANCIA,CHIMALTENANGO
04-01-0357-46,,04-001,CHIMALTENANGO,CHIMALTENANGO,TECNOLӇICO PREUNIVERSITARIO,"3A. CALLE 7-54, ZONA 3",78394519,ABIMAEL ACUTA ABAJ,GERSON ARELY PUZ SAL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (DOS D́S A LA SEMANA),CHIMALTENANGO
04-01-0360-46,,04-001,CHIMALTENANGO,CHIMALTENANGO,"COLEGIO MIXTO ""SANTA ANA""",2A. CALLE 5-52 ZONA 4,78391533,ABIMAEL ACUTA ABAJ,MAURO AROLDO FIGUEROA ZAMORA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (DOS D́S A LA SEMANA),CHIMALTENANGO
